player,dob,caps,position_last_seen,shirt_last_seen,last_match_date,last_opposition
Leicester Fainga'anuku,1999-10-11,12,Replacement,22,22/11/2025,Wales
Leroy Carter,1999-02-24,7,Wing,11,11/07/2026,Italy
Liam Coltman,1990-01-25,8,Replacement,16,01/11/2019,Wales
Luke Jacobson,1997-04-20,27,Flanker,7,18/07/2026,Ireland
Mark Tele'a,1996-12-06,19,Wing,14,23/11/2024,Italy
Matt Todd,1988-03-24,25,Replacement,20,01/11/2019,Wales
Nepo Laulala,1991-11-06,53,Replacement,18,28/10/2023,South Africa
Ngani Laumape,1993-04-22,15,Centre,12,07/11/2020,Australia
Noah Hotham,2003-05-23,3,Scrum Half,9,13/09/2025,South Africa
Ofa Tuungafasi,1992-04-19,68,Replacement,17,23/11/2024,Italy
Oliver Norris,1999-12-11,3,Replacement,17,16/08/2025,Argentina
Owen Franks,1987-12-23,108,Prop,3,10/08/2019,Australia
Pasilio Tosi,1998-07-18,17,Replacement,18,11/07/2026,Italy
Patrick Tuipulotu,1993-01-23,57,Lock,5,18/07/2026,Ireland
Peter Lakai,2003-03-04,10,Replacement,20,18/07/2026,Ireland
Peter Umaga-Jensen,1997-12-31,4,Replacement,22,18/10/2020,Australia
Pita Gus Sowakula,1994-10-26,8,Replacement,20,09/07/2022,Ireland
Quinn Tupaea,1999-05-10,26,Centre,13,18/07/2026,Ireland
Richie Mo'unga,1994-05-25,56,Fly Half,10,28/10/2023,South Africa
Rieko Ioane,1997-03-18,88,Centre,13,22/11/2025,Wales
Roger Tuivasa-Sheck,1993-06-05,3,Centre,12,29/10/2022,Japan
Ruben Love,2001-04-28,8,Fly Half,10,18/07/2026,Ireland
Ryan Crotty,1988-09-23,48,Centre,13,01/11/2019,Wales
Sam Cane,1992-01-13,104,Flanker,7,23/11/2024,Italy
Sam Darry,2000-07-11,10,Lock,4,11/07/2026,Italy
Samipeni Finau,1999-05-10,12,Replacement,20,16/08/2025,Argentina
Samisoni Taukei'aho,1997-08-08,44,Replacement,16,11/07/2026,Italy
Samuel Whitelock,1988-10-12,153,Replacement,19,28/10/2023,South Africa
Scott Barrett,1993-11-20,89,Lock,4,22/11/2025,Wales
Sevu Reece,1997-02-13,37,Replacement,23,22/11/2025,Wales
Shannon Frizell,1994-02-11,33,Flanker,6,28/10/2023,South Africa
Shaun Stevenson,1996-11-14,1,Wing,14,05/08/2023,Australia
Simon Parker,2000-05-06,8,Flanker,6,22/11/2025,Wales
Sonny Bill Williams,1985-08-03,58,Centre,12,01/11/2019,Wales
Stephen Perofeta,1997-03-12,6,Replacement,23,08/11/2024,Ireland
TJ Perenara,1992-01-23,89,Replacement,21,23/11/2024,Italy
Tamaiti Williams,2000-08-10,27,Prop,1,22/11/2025,Wales
Timoci Tavatavanawai,1998-02-14,2,Replacement,22,19/07/2025,France
Tupou Vaa'i,2000-01-27,47,Flanker,6,18/07/2026,Ireland
Tyrel Lomax,1996-03-16,51,Prop,3,18/07/2026,Ireland
Vaea Fifita,1992-06-17,21,Replacement,19,27/07/2019,South Africa
Wallace Sititi,2002-09-07,21,Flanker,6,11/07/2026,Italy
Will Jordan,1998-02-24,57,Wing,14,18/07/2026,Ireland
Xavier Numia,1998-11-29,2,Replacement,17,18/07/2026,Ireland
