player,dob,caps,position_last_seen,shirt_last_seen,last_match_date,last_opposition
Jock Campbell,1995-05-17,6,Replacement,22,11/07/2026,France
Joe Powell,1994-04-11,4,Replacement,21,08/09/2018,South Africa
Jono Lance,1990-06-27,0,Replacement,22,19/11/2016,France
Jordan Petaia,2000-03-14,31,Centre,13,24/09/2023,Wales
Jordan Uelese,1997-01-24,19,Replacement,16,17/09/2023,Fiji
Joseph Suaalii,2003-08-01,22,Centre,13,08/08/2026,Japan
Joseph Tomane,1990-02-11,17,Wing,14,27/09/2015,Uruguay
Josh Canham,2001-02-01,6,Lock,4,08/08/2026,Japan
Josh Flook,2001-09-22,5,Centre,13,25/10/2025,Japan
Josh Kemeny,1998-11-29,2,Replacement,20,01/10/2023,Portugal
Josh Nasser,1999-06-23,15,Hooker,2,15/08/2026,Japan
Kalani Thomas,2002-04-18,1,Replacement,21,22/11/2025,France
Kane Douglas,1989-06-01,31,Lock,4,03/12/2016,England
Karmichael Hunt,1986-11-17,6,Replacement,22,25/11/2017,Scotland
Kurtley Beale,1989-01-06,95,Full Back,15,20/11/2021,Wales
Kyle Godwin,1992-07-30,1,Centre,12,19/11/2016,France
Lachlan Lonergan,1999-10-11,8,Replacement,16,26/11/2022,Wales
Lachlan Shaw,2003-05-15,3,Lock,4,15/08/2026,Japan
Lachlan Swinton,1997-01-16,7,Replacement,20,20/11/2021,Wales
Lalakai Foketi,1994-12-22,9,Centre,12,01/10/2023,Portugal
Langi Gleeson,2001-07-21,18,Replacement,20,16/08/2025,South Africa
Len Ikitau,1998-10-01,53,Centre,12,18/07/2026,Italy
Leroy Houston,1986-11-10,1,Replacement,21,08/10/2016,Argentina
Liam Wright,1997-11-06,6,Flanker,6,06/07/2024,Wales
Lopeti Timani,1990-09-28,16,Replacement,20,25/11/2017,Scotland
Luke Jones,1991-04-02,6,Replacement,19,07/09/2019,Samoa
Luke Morahan,1990-04-13,3,Full Back,15,19/11/2016,France
Luke Reimer,2000-05-27,1,Replacement,20,10/08/2024,South Africa
Lukhan Salakaia-Loto,1996-09-19,46,Lock,5,15/08/2026,Japan
Marika Koroibete,1992-07-26,63,Wing,11,21/09/2024,New Zealand
Mark Nawaqanitawase,2000-09-11,11,Wing,14,01/10/2023,Portugal
Massimo De Lutiis,2003-11-18,1,Replacement,18,15/08/2026,Japan
Matt Faessler,1998-12-21,18,Hooker,2,22/11/2025,France
Matt Gibbon,1995-06-03,6,Replacement,17,08/07/2023,South Africa
Matt Giteau,1982-09-29,103,Centre,12,20/08/2016,New Zealand
Matt Philip,1994-03-07,31,Replacement,19,24/09/2023,Wales
Matt Toomua,1990-01-02,59,Centre,12,14/08/2021,New Zealand
Max Jorgensen,2004-09-02,25,Wing,14,15/08/2026,Japan
Michael Hooper,1991-10-29,125,Flanker,7,08/07/2023,South Africa
Miles Amatosero,2002-06-15,2,Lock,5,08/08/2026,Japan
Ned Hanigan,1995-04-11,28,Replacement,19,26/11/2022,Wales
Nic White,1990-06-13,77,Scrum Half,9,13/09/2025,Argentina
Nicholas Frisby,1992-10-29,5,Replacement,21,03/12/2016,England
Nick Champion de Crespigny,1996-06-27,5,Replacement,20,11/07/2026,France
Nick Frost,1999-10-10,38,Lock,4,22/11/2025,France
Nick Phipps,1989-01-09,72,Replacement,22,07/09/2019,Samoa
Noah Lolesio,1999-12-18,30,Fly Half,10,06/07/2025,Fiji
Oliver Hoskins,1993-03-06,1,Replacement,18,13/11/2021,England
Pete Samu,1991-12-17,34,Replacement,20,08/11/2025,Italy
Pone Fa’amausili,1997-02-26,7,Replacement,18,01/10/2023,Portugal
Quade Cooper,1988-04-05,80,Replacement,22,05/08/2023,New Zealand
Reece Hodge,1994-08-26,63,Centre,12,08/07/2023,South Africa
Richard Arnold,1990-07-01,9,Lock,5,01/10/2023,Portugal
Richard Hardwick,1994-05-31,12,Replacement,20,17/06/2017,Scotland
Rob Horne,1989-08-15,34,Centre,13,24/06/2017,Italy
Rob Simmons,1989-04-19,106,Lock,4,05/12/2020,Argentina
Rob Valetini,1998-09-03,66,Flanker,6,08/08/2026,Japan
Robert Leota,1997-03-03,21,Replacement,19,01/10/2023,Portugal
Rory Arnold,1990-07-01,32,Lock,4,03/09/2022,South Africa
Ryan Lonergan,1998-04-06,10,Scrum Half,9,15/08/2026,Japan
Sam Carter,1989-09-10,16,Replacement,19,24/06/2017,Italy
Sam Talakai,1991-09-04,1,Replacement,18,26/11/2022,Wales
Samu Kerevi,1993-09-27,50,Centre,12,17/11/2024,Wales
Scott Fardy,1984-07-05,39,Flanker,6,19/11/2016,France
Scott Higginbotham,1986-09-05,34,Number 8,8,17/06/2017,Scotland
Scott Sio,1991-10-16,76,Replacement,17,15/09/2022,New Zealand
Sean McMahon,1994-06-18,27,Replacement,20,02/10/2021,Argentina
Sefa Naivalu,1992-01-07,10,Replacement,22,24/11/2018,England
Sekope Kepu,1986-02-05,110,Prop,3,11/10/2019,Georgia
Seru Uru,1997-01-03,2,Flanker,6,17/11/2024,Wales
Stephen Moore,1983-01-20,129,Hooker,2,25/11/2017,Scotland
Suli Vunivalu,1995-11-27,7,Replacement,23,01/10/2023,Portugal
Tane Edmed,2000-08-16,9,Fly Half,10,22/11/2025,France
Taniela Tupou,1996-05-10,72,Prop,3,15/08/2026,Japan
Taqele Naiyaravoro,1991-12-07,2,Replacement,23,19/11/2016,France
Tatafu Polota-Nau,1985-07-26,90,Replacement,16,07/09/2019,Samoa
Tate McDermott,1998-09-18,55,Replacement,21,15/08/2026,Japan
Tetera Faulkner,1988-07-26,4,Replacement,17,25/11/2017,Scotland
Tevita Kuridrani,1991-03-31,61,Centre,13,05/10/2019,Uruguay
Thomas Banks,1994-06-18,21,Full Back,15,29/10/2022,Scotland
Toby Smith,1988-10-10,6,Replacement,17,24/06/2017,Italy
Tolu Latu,1993-02-23,21,Hooker,2,20/11/2021,Wales
Tom Hooper,2001-01-29,23,Replacement,20,04/07/2026,Ireland
Tom Lynagh,2003-04-14,7,Fly Half,10,06/09/2025,Argentina
Tom Robertson,1994-08-28,39,Replacement,17,15/11/2025,Ireland
Tom Wright,1997-07-21,48,Full Back,15,15/08/2026,Japan
Will Genia,1988-01-17,110,Scrum Half,9,19/10/2019,England
Will Skelton,1992-05-03,37,Lock,5,04/10/2025,New Zealand
Wycliff Palu,1982-07-27,58,Replacement,20,25/06/2016,England
Zane Nonggorr,2001-03-30,20,Replacement,18,18/07/2026,Italy
