player,dob,caps,position_last_seen,shirt_last_seen,last_match_date,last_opposition
Steffan Evans,1994-09-01,13,Wing,11,31/08/2019,Ireland
Taine Basham,1999-11-02,17,Replacement,20,10/02/2024,England
Taine Plumtree,2000-03-09,15,Replacement,19,04/07/2026,Fiji
Taulupe Faletau,1990-11-12,115,Number 8,8,05/07/2025,Japan
Teddy Williams,2000-10-18,9,Lock,4,18/07/2026,South Africa
Thomas Young,1992-05-18,4,Flanker,7,14/11/2021,Fiji
Tom Rogers,1998-12-17,13,Wing,14,27/06/2026,Barbarians
Tomas Francis,1992-04-27,82,Prop,3,14/03/2026,Italy
Tommy Reffell,1999-04-27,29,Replacement,20,18/07/2026,South Africa
Tomos Williams,1995-01-01,75,Scrum Half,9,18/07/2026,South Africa
Will Rowlands,1991-09-19,41,Lock,4,15/03/2025,England
WillGriff John,1992-12-04,5,Prop,3,15/03/2025,England
Willis Halaholo,1990-07-06,13,Centre,12,19/03/2022,Italy
Wyn Jones,1992-02-26,50,Prop,1,18/03/2023,France
