player,dob,caps,position_last_seen,shirt_last_seen,last_match_date,last_opposition
Sam Hidalgo-Clyne,1993-08-04,14,Replacement,21,05/12/2020,Ireland
Sam Johnson,1993-06-19,26,Replacement,23,16/07/2022,Argentina
Sam Skinner,1995-01-31,37,Replacement,19,22/02/2025,England
Scott Cummings,1996-12-03,52,Replacement,19,18/07/2026,Fiji
Scott Steele,1993-07-24,4,Replacement,21,26/03/2021,France
Sean Maitland,1988-09-14,53,Full Back,15,20/03/2021,Italy
Seb Stephen,2005-08-29,1,Replacement,16,18/07/2026,Fiji
Simon Berghan,1990-12-07,33,Replacement,18,12/03/2023,Ireland
Sione Tuipulotu,1997-02-12,42,Replacement,23,18/07/2026,Fiji
Stafford McDowall,1998-02-24,18,Centre,12,18/07/2026,Fiji
Stuart Hogg,1992-06-24,102,Full Back,15,12/03/2023,Ireland
Stuart McInally,1990-08-09,49,Replacement,16,12/08/2023,France
Tom Jordan,1998-09-18,19,Full Back,15,18/07/2026,Fiji
Tommy Seymour,1988-07-01,55,Wing,14,13/10/2019,Japan
WP Nel,1986-04-30,61,Replacement,18,07/10/2023,Ireland
Will Hurd,1999-06-29,11,Replacement,18,11/07/2026,South Africa
Zander Fagerson,1996-01-19,84,Replacement,18,18/07/2026,Fiji
