player,dob,caps,position_last_seen,shirt_last_seen,last_match_date,last_opposition
Giovanni Licata,1997-02-18,13,Replacement,20,20/11/2021,Uruguay
Giovanni Pettinelli,1996-03-13,15,Replacement,21,20/09/2023,Uruguay
Giulio Bertaccini,2000-11-29,4,Replacement,23,12/07/2025,South Africa
Giulio Bisegni,1992-04-04,16,Replacement,23,22/02/2020,Scotland
Giulio Marini,2002-01-23,2,Lock,4,18/07/2026,Australia
Guglielmo Palazzani,1991-04-11,44,Replacement,21,27/02/2021,Ireland
Hame Faiva,1994-05-09,10,Hooker,2,06/10/2023,France
Ian McKinley,1989-12-04,9,Replacement,22,10/08/2019,Ireland
Ion Neculai,2001-01-25,4,Replacement,18,18/07/2026,Australia
Ivan Nemer,1998-04-22,16,Replacement,17,29/09/2023,New Zealand
Jacopo Trulla,2000-07-05,17,Wing,11,12/07/2025,South Africa
Jake Polledri,1995-11-08,20,Replacement,20,12/02/2023,England
Jayden Hayward,1987-02-11,27,Full Back,15,24/10/2020,Ireland
Jimmy Tuivaiti,1988-01-02,6,Replacement,19,09/02/2020,France
Johan Meyer,1993-02-26,14,Flanker,7,20/03/2021,Scotland
Juan Ignacio Brex,1992-05-26,55,Centre,13,18/07/2026,Australia
Leonardo Ghiraldini,1984-12-26,107,Replacement,16,05/12/2020,Wales
Leonardo Marin,2002-02-23,25,Replacement,23,18/07/2026,Australia
Leonardo Sarto,1992-01-15,35,Wing,14,01/02/2020,Wales
Lorenzo Cannone,2001-01-28,40,Number 8,8,11/07/2026,New Zealand
Lorenzo Pani,2002-07-04,14,Full Back,15,18/07/2026,Australia
Loris Zarantonello,2000-11-17,1,Replacement,16,05/07/2024,Samoa
Louis Lynagh,2000-12-03,16,Wing,14,18/07/2026,Australia
Luca Bigi,1991-04-19,49,Replacement,16,26/08/2023,Japan
Luca Morisi,1991-02-22,50,Replacement,22,06/10/2023,France
Luca Rizzoli,2002-05-03,2,Replacement,17,08/02/2025,Wales
Luca Sperandio,1996-01-28,11,Wing,14,27/02/2021,Ireland
Malik Faissal,2006-04-11,2,Wing,14,11/07/2026,New Zealand
Manfredi Albanese,2001-07-25,3,Replacement,21,05/11/2022,Samoa
Manuel Zuliani,2000-04-26,43,Flanker,7,14/03/2026,Wales
Marcello Violi,1993-10-11,21,Replacement,21,20/03/2021,Scotland
Marco Barbini,1990-10-16,3,Replacement,20,09/02/2019,Wales
Marco Fuser,1991-03-09,42,Unknown,10,19/08/2023,Romania
Marco Lazzaroni,1995-05-18,15,Replacement,19,13/03/2021,Wales
Marco Manfredi,1997-09-18,3,Replacement,16,06/10/2023,France
Marco Riccioni,1997-10-19,39,Prop,3,18/07/2026,Australia
Marco Zanon,1997-10-03,21,Centre,12,12/07/2025,South Africa
Martin Page-Relo,1999-01-06,21,Replacement,21,22/11/2025,Chile
Matt Gallagher,1996-10-26,3,Wing,11,09/03/2025,England
Matteo Canali,1998-09-11,2,Replacement,19,12/07/2025,South Africa
Matteo Minozzi,1996-06-04,24,Full Back,15,13/11/2021,Argentina
Mattia Bellini,1994-02-08,31,Wing,14,20/03/2021,Scotland
Maxime Mbandà,1993-04-10,29,Replacement,20,20/03/2021,Scotland
Michele Campagnaro,1993-03-13,46,Wing,11,04/10/2019,South Africa
Michele Lamaro,1998-06-03,57,Flanker,7,18/07/2026,Australia
Mirco Spagnolo,2001-01-02,26,Replacement,17,11/07/2026,New Zealand
Mirko Belloni,2004-06-04,3,Wing,14,22/11/2025,Chile
Montanna Ioane,1994-10-30,49,Wing,11,18/07/2026,Australia
Muhamed Hasa,2001-09-10,11,Prop,1,18/07/2026,Australia
Niccolo Cannone,1998-05-17,64,Lock,4,11/07/2026,New Zealand
Nicola Quaglio,1991-03-09,14,Replacement,17,04/10/2019,South Africa
Oliviero Fabiani,1990-07-13,11,Replacement,16,13/03/2021,Wales
Pablo Dimcheff,1999-07-01,5,Replacement,16,18/07/2026,Australia
Paolo Buonfiglio,1995-01-28,1,Replacement,17,05/08/2023,Ireland
Paolo Garbisi,2000-04-26,57,Fly Half,10,18/07/2026,Australia
Paolo Odogwu,1997-02-18,10,Centre,12,18/07/2026,Australia
Pierre Bruno,1996-06-28,15,Wing,14,06/10/2023,France
Pietro Ceccarelli,1992-02-16,34,Replacement,18,17/11/2024,Georgia
Ratuva Tavuyara,,1,Replacement,23,20/11/2021,Uruguay
Renato Giammarioli,1995-03-23,8,Replacement,21,10/07/2022,Georgia
Riccardo Favretto,2001-10-18,16,Flanker,6,18/07/2026,Australia
Ross Vintcent,2002-06-05,22,Number 8,8,18/07/2026,Australia
Sebastian Negri,1994-06-30,65,Flanker,6,12/07/2025,South Africa
Sergio Parisse,1983-09-12,142,Number 8,8,04/10/2019,South Africa
Simone Ferrari,1994-03-28,73,Prop,3,07/03/2026,England
Simone Gesi,2001-05-23,5,Wing,11,05/07/2025,South Africa
Stephen Varney,2001-05-16,39,Scrum Half,9,11/07/2026,New Zealand
Tito Tebaldi,1987-09-23,36,Scrum Half,9,04/10/2019,South Africa
Tiziano Pasquali,1994-07-14,25,Replacement,18,12/03/2022,Scotland
Toa Halafihi,1993-11-27,12,Replacement,21,29/09/2023,New Zealand
Tommaso Allan,1993-04-26,91,Full Back,15,11/07/2026,New Zealand
Tommaso Benvenuti,1990-12-12,62,Wing,14,04/10/2019,South Africa
Tommaso Castello,1991-08-14,18,Replacement,23,09/03/2019,England
Tommaso Di Bartolomeo,2001-01-04,12,Hooker,2,11/07/2026,New Zealand
Tommaso Menoncello,2002-08-20,41,Centre,12,11/07/2026,New Zealand
