player,dob,caps,position_last_seen,shirt_last_seen,last_match_date,last_opposition
Louis Bielle-Biarrey,2003-06-19,27,Wing,11,14/03/2026,England
Louis Carbonel,1999-02-04,5,Fly Half,10,13/07/2021,Australia
Louis Picamoles,1986-02-05,82,Replacement,20,20/10/2019,Wales
Lucas Dubois,1998-06-09,1,Full Back,15,10/07/2024,Uruguay
Lucas Pointud,1988-01-18,2,Replacement,17,25/06/2016,Argentina
Marco Tauleigne,1993-08-30,5,Number 8,8,17/03/2018,Wales
Marko Gazzotti,2004-09-24,4,Flanker,7,18/07/2026,Japan
Mathieu Babillot,1993-09-09,5,Replacement,20,17/11/2018,Argentina
Mathieu Bastareaud,1988-09-17,54,Centre,13,16/03/2019,Italy
Matthias Halagahu,2001-08-15,2,Lock,5,19/07/2025,New Zealand
Matthieu Jalibert,1998-11-06,42,Full Back,15,18/07/2026,Japan
Matthis Lebel,1999-03-25,6,Wing,11,25/02/2024,Italy
Max Spring,2001-03-15,2,Full Back,15,04/07/2026,New Zealand
Maxime Lamothe,1998-10-03,6,Hooker,2,18/07/2026,Japan
Maxime Lucu,1993-01-12,33,Scrum Half,9,18/07/2026,Japan
Maxime Machenaud,1988-12-30,38,Scrum Half,9,02/10/2019,USA
Maxime Medard,1986-11-16,63,Full Back,15,20/10/2019,Wales
Maxime Mermoz,1986-07-28,35,Centre,12,19/03/2016,England
Melvyn Jaminet,1999-06-30,20,Replacement,23,06/07/2024,Argentina
Mickael Guillard,2000-12-10,19,Replacement,19,04/07/2026,New Zealand
Mohamed Boughanmi,1991-10-27,1,Replacement,18,10/06/2017,South Africa
Mohamed Haouas,1994-03-09,16,Prop,3,26/02/2023,Scotland
Morgan Parra,1988-11-15,71,Scrum Half,9,10/02/2019,England
Moses Alo Emile,2000-01-15,1,Prop,1,11/07/2026,Australia
Nans Ducuing,1991-11-06,4,Full Back,15,18/11/2017,South Africa
Nathanael Hulleu,2000-05-16,1,Replacement,23,10/07/2024,Uruguay
Nicolas Depoortere,2003-01-13,10,Replacement,23,04/07/2026,New Zealand
Nicolas Mas,1980-05-23,85,Replacement,18,17/10/2015,New Zealand
Noa Nakaitaci,1990-07-11,15,Wing,14,18/03/2017,Wales
Noah Nene,2004-10-14,1,Replacement,23,15/02/2026,Wales
Nolann Le Garrec,2002-05-14,16,Replacement,22,11/07/2026,Australia
Oscar Jegou,2003-05-31,15,Flanker,7,11/07/2026,Australia
Pascal Pape,1980-10-05,65,Lock,4,17/10/2015,New Zealand
Paul Boudehent,1999-11-21,21,Replacement,21,15/11/2025,Fiji
Paul Gabrillagues,1993-06-03,18,Lock,5,10/02/2024,Scotland
Paul Graou,1997-07-25,1,Replacement,22,18/07/2026,Japan
Paul Jedrasiak,1993-02-06,10,Replacement,19,25/11/2017,Japan
Paul Mallez,2001-01-24,3,Replacement,17,19/07/2025,New Zealand
Paul Willemse,1992-11-13,32,Lock,5,02/02/2024,Ireland
Peato Mauvaka,1997-01-10,48,Replacement,16,18/07/2026,Japan
Pierre Bochaton,2001-04-17,3,Flanker,6,04/07/2026,New Zealand
Pierre Bourgarit,1997-09-12,17,Hooker,2,19/07/2025,New Zealand
Pierre-Henri Azagoh,1998-07-25,2,Lock,4,10/07/2024,Uruguay
Pierre-Louis Barassi,1998-04-22,13,Centre,13,14/03/2026,England
Posolo Tuilagi,2004-07-28,6,Replacement,19,13/07/2024,Argentina
Quentin Walcker,1996-02-21,2,Replacement,17,17/07/2021,Australia
Rabah Slimani,1989-10-18,59,Prop,3,19/07/2025,New Zealand
Raphael Chaume,1989-04-24,1,Replacement,17,11/11/2017,New Zealand
Raphael Lakafia,1988-10-28,4,Number 8,8,19/06/2016,Argentina
Reda Wardi,1995-08-02,20,Replacement,17,18/07/2026,Japan
Regis Montagne,2000-09-30,9,Prop,3,18/07/2026,Japan
Remi Bonfils,1988-09-26,2,Hooker,2,25/06/2016,Argentina
Remi Lamerat,1990-01-14,19,Centre,13,23/06/2018,New Zealand
Remi Tales,1984-05-02,24,Replacement,22,17/10/2015,New Zealand
Remy Grosso,1988-12-04,5,Wing,11,09/06/2018,New Zealand
Rodrigue Neti,1995-04-26,9,Replacement,17,14/03/2026,England
Romain Briatte,1993-02-18,2,Replacement,20,13/07/2024,Argentina
Romain Buros,1997-07-31,1,Full Back,15,16/11/2024,New Zealand
Romain Ntamack,1999-05-01,45,Fly Half,10,18/07/2026,Japan
Romain Taofifenua,1990-09-14,60,Replacement,19,22/11/2025,Australia
Rory Kockott,1986-06-25,11,Replacement,21,17/10/2015,New Zealand
Scott Spedding,1986-05-04,23,Full Back,15,25/11/2017,Japan
Sebastien Bezy,1991-11-22,8,Replacement,21,06/12/2020,England
Sebastien Taofifenua,1992-03-21,10,Replacement,17,13/07/2024,Argentina
Sebastien Tillous-Borde,1985-04-29,19,Scrum Half,9,11/10/2015,Ireland
Sebastien Vahaamahina,1991-10-21,46,Lock,5,20/10/2019,Wales
Sekou Macalou,1995-04-20,20,Replacement,21,15/10/2023,South Africa
Selevasio Tolofua,1997-05-31,2,Replacement,20,02/07/2022,Japan
Sipili Falatea,1997-06-06,15,Replacement,18,18/07/2026,Japan
Sofiane Guitoune,1989-03-27,9,Centre,12,06/10/2019,Tonga
Swan Rebbadj,1995-01-15,3,Lock,5,26/03/2021,Scotland
Teddy Baubigny,1998-09-02,4,Replacement,16,13/07/2024,Argentina
Teddy Iribaren,1990-09-25,2,Replacement,21,17/07/2021,Australia
Teddy Thomas,1993-09-18,28,Wing,11,17/07/2021,Australia
Temo Matiu,2001-07-20,1,Flanker,7,14/03/2026,England
Tevita Tatafu,2002-10-13,3,Replacement,18,11/07/2026,Australia
Theo Attissogbe,2004-11-19,16,Wing,14,18/07/2026,Japan
Thibaud Flament,1997-04-29,38,Lock,4,14/03/2026,England
Thibault Daubagna,1994-05-20,2,Replacement,22,19/07/2025,New Zealand
Thierry Dusautoir,1981-11-18,80,Flanker,6,17/10/2015,New Zealand
Thomas Jolmes,1995-10-08,2,Lock,5,09/07/2022,Japan
Thomas Laclayat,1997-10-02,4,Replacement,18,22/11/2025,Australia
Thomas Lavault,1999-05-03,2,Replacement,20,05/02/2023,Italy
Thomas Ramos,1995-07-23,52,Full Back,15,14/03/2026,England
Tom Spring,2002-09-26,1,Wing,14,05/07/2025,New Zealand
Tom Staniforth,1994-08-13,3,Replacement,20,18/07/2026,Japan
Tyler Duguid,2000-10-17,1,Lock,5,05/07/2025,New Zealand
Uini Atonio,1990-03-26,68,Prop,3,15/03/2025,Scotland
Vincent Debaty,1981-10-02,37,Replacement,17,17/10/2015,New Zealand
Vincent Pelo,1988-04-22,2,Replacement,17,13/03/2016,Scotland
Vincent Rattez,1992-03-24,8,Wing,11,22/11/2020,Scotland
Virimi Vakatawa,1992-05-01,33,Centre,13,09/07/2022,Japan
Wenceslas Lauret,1989-03-28,27,Flanker,6,20/10/2019,Wales
Wesley Fofana,1988-01-20,48,Centre,12,30/08/2019,Italy
Wilfrid Hounkpatin,1991-07-29,4,Prop,3,13/07/2021,Australia
William Demotte,1991-05-22,1,Lock,5,19/06/2016,Argentina
Xavier Chiocci,1990-02-13,10,Replacement,17,24/06/2017,South Africa
Yacouba Camara,1994-06-02,17,Replacement,20,06/10/2019,Tonga
Yann Peysson,2000-07-06,1,Replacement,20,10/07/2024,Uruguay
Yannick Nyanga,1983-12-19,46,Replacement,20,17/10/2015,New Zealand
Yoan Tanga,1996-11-29,3,Number 8,8,05/08/2023,Scotland
Yoann Huget,1987-06-02,62,Wing,11,20/10/2019,Wales
Yoann Maestri,1988-01-14,65,Lock,5,24/11/2018,Fiji
Yoram Moefana,2000-07-18,42,Centre,12,18/07/2026,Japan
