player,dob,caps,position_last_seen,shirt_last_seen,last_match_date,last_opposition
Francisco Moreno,,2,Prop,3,29/08/2026,Australia
Franco Molina,1997-08-28,21,Replacement,19,11/07/2026,Wales
Gabriel Ascarate,1987-10-20,17,Replacement,23,26/11/2016,England
Gaston Cortes,1985-10-06,5,Replacement,18,08/09/2018,New Zealand
German Schulz,1994-02-05,3,Replacement,23,24/06/2017,Georgia
Geronimo Albertario,1987-11-24,2,Lock,5,23/05/2015,Paraguay
Geronimo Prisciantelli,1999-08-23,6,Full Back,15,29/08/2026,Australia
Gonzalo Bertranou,1993-12-31,67,Scrum Half,9,05/07/2025,England
Gonzalo Camacho,1984-08-28,22,Wing,14,25/07/2015,Australia
Gonzalo Garcia,1999-03-05,18,Scrum Half,9,18/07/2026,England
Gregorio Del Prete,1995-03-21,1,Replacement,21,16/05/2015,Uruguay
Guido Petti Pagadizabal,1994-11-17,103,Lock,4,29/08/2026,Australia
Horacio Agulla,1984-10-22,63,Wing,11,30/10/2015,South Africa
Ignacio Calles,1995-10-24,8,Replacement,17,22/11/2024,France
Ignacio Larrague,1995-10-25,0,Replacement,19,19/06/2016,France
Ignacio Mendy,2000-06-29,7,Wing,11,29/08/2026,Australia
Ignacio Ruiz,2001-01-03,31,Hooker,2,29/08/2026,Australia
Javier Manuel Diaz,1995-07-26,3,Prop,1,23/06/2018,Scotland
Javier Ortega Desio,1990-06-14,57,Number 8,8,05/10/2019,England
Jeronimo de la Fuente,1991-02-24,80,Centre,12,20/07/2024,Uruguay
Joaquin Diaz Bonilla,1989-04-12,4,Fly Half,10,17/08/2019,South Africa
Joaquin Moro,2001-01-24,7,Number 8,8,29/08/2026,Australia
Joaquin Oviedo,2001-07-16,25,Number 8,8,18/07/2026,England
Joaquin Paz,1993-01-11,5,Centre,12,23/05/2015,Paraguay
Joaquin Tuculet,1989-08-08,56,Full Back,15,09/10/2019,USA
Joel Sclavi,1994-06-25,32,Prop,3,27/09/2025,South Africa
Jose Luis Gonzalez,1997-09-11,0,Replacement,16,05/12/2020,Australia
Juan Bautista Pedemonte,2000-03-14,2,Replacement,20,09/11/2024,Italy
Juan Cruz Guillemaín,1992-08-21,1,Replacement,26,20/06/2015,French Barbarians
Juan Cruz Mallia,1996-09-11,50,Full Back,15,23/11/2025,England
Juan Figallo,1988-03-25,33,Prop,3,05/10/2019,England
Juan Imhoff,1988-05-11,43,Wing,11,30/09/2023,Chile
Juan Leon Novillo,1992-07-08,2,Fly Half,10,23/05/2015,Paraguay
Juan Manuel Leguizamon,1983-06-06,87,Flanker,7,09/10/2019,USA
Juan Martin Gonzalez,2000-11-14,51,Flanker,6,23/11/2025,England
Juan Martin Scelzo,2002-02-12,1,Replacement,21,08/08/2026,South Africa
Juan Martín Fernandez Lobbe,1981-11-19,71,Flanker,7,30/10/2015,South Africa
Juan Martín Hernández,1982-08-07,74,Replacement,22,18/11/2017,Italy
Juan Pablo Estelles,1988-05-05,2,Wing,11,26/11/2016,England
Juan Pablo Orlandi,1983-06-20,20,Replacement,17,30/10/2015,South Africa
Juan Pablo Socino,1988-05-30,4,Replacement,23,30/10/2015,South Africa
Juan Pablo Zeiss,1989-08-02,7,Replacement,18,05/12/2020,Australia
Juan Penoucos,2004-06-29,2,Replacement,20,29/08/2026,Australia
Julian Montoya,1993-10-29,120,Hooker,2,18/07/2026,England
Justo Piccardo,2002-01-05,13,Centre,12,18/07/2026,England
Lautaro Bazan Velez,1996-02-24,19,Replacement,21,22/11/2024,France
Leonardo Senatore,1984-05-13,48,Number 8,8,23/06/2018,Scotland
Leonel Oviedo,1998-02-16,2,Replacement,16,29/08/2026,Australia
Lisandro Ahualli De Chazal,1988-12-29,6,Replacement,20,23/05/2015,Paraguay
Lucas Gonzalez Amorosino,1985-11-02,51,Replacement,23,08/10/2016,Australia
Lucas Mensa,1996-05-24,3,Replacement,23,28/11/2020,New Zealand
Lucas Noguera,1993-10-05,43,Replacement,17,25/11/2017,Ireland
Lucas Paulos,1998-01-09,18,Lock,5,27/09/2025,South Africa
Lucio Cinti,2000-02-23,44,Centre,13,29/08/2026,Australia
Lucio Sordoni,1998-07-23,8,Prop,3,17/08/2024,New Zealand
Manuel Carizza,1984-08-23,45,Lock,4,25/07/2015,Australia
Manuel Montero,1991-11-20,27,Replacement,23,16/09/2017,Australia
Manuel Plaza,1996-01-04,1,Replacement,19,23/05/2015,Paraguay
Marcelo Bosch,1984-01-07,39,Centre,13,25/10/2015,Australia
Marcos Ayerza,1983-01-12,65,Prop,1,25/10/2015,Australia
Marcos Kremer,1997-07-30,83,Flanker,7,18/07/2026,England
Mariano Galarza,1986-11-12,26,Replacement,19,17/11/2018,France
Martín Bogado,1998-04-29,4,Full Back,15,06/07/2024,France
Martín Landajo,1988-06-14,83,Scrum Half,9,01/12/2018,Barbarians
Mateo Carreras,1999-12-17,36,Wing,11,18/07/2026,England
Matias Alemanno,1991-12-05,101,Lock,5,18/07/2026,England
Matias Cortese,1985-10-01,15,Hooker,2,20/06/2015,French Barbarians
Matias Diaz,1993-02-16,11,Replacement,18,08/08/2015,South Africa
Matias Moroni,1991-03-29,99,Replacement,23,29/08/2026,Australia
Matias Orlando,1991-11-14,62,Centre,12,09/11/2024,Italy
Mayco Vivas,1998-06-02,43,Replacement,17,08/08/2026,South Africa
Nahuel Tetaz Chaparro,1989-11-06,81,Replacement,17,23/08/2025,New Zealand
Nicolas D'Amorim,,1,Replacement,20,19/07/2025,Uruguay
Nicolas Roger,2000-01-11,4,Replacement,22,29/08/2026,Australia
Nicolas Sanchez,1988-10-26,104,Replacement,22,27/10/2023,England
Pablo Matera,1993-07-18,126,Flanker,6,29/08/2026,Australia
Pedro Delgado,1997-09-01,11,Replacement,18,18/07/2026,England
Pedro Rubiolo,2002-12-21,31,Lock,5,23/11/2025,England
Ramiro Herrera,1989-02-14,40,Replacement,18,27/07/2019,Australia
Ramiro Moyano,1990-05-28,36,Wing,11,28/11/2020,New Zealand
Rodrigo Baez,1989-02-08,17,Flanker,7,24/06/2017,Georgia
Rodrigo Bruni,1993-09-03,26,Replacement,20,27/10/2023,England
Rodrigo Isgro,1999-03-24,18,Wing,14,29/08/2026,Australia
Rodrigo Martinez,1998-07-07,4,Replacement,17,29/08/2026,Australia
Roman Miralles,1983-08-01,4,Full Back,15,20/06/2015,French Barbarians
Santiago Carreras,1998-03-30,69,Fly Half,10,29/08/2026,Australia
Santiago Chocobares,1999-03-31,34,Centre,12,16/11/2025,Scotland
Santiago Cordero,1993-12-06,56,Replacement,23,19/07/2025,Uruguay
Santiago Garcia Botta,1992-06-19,34,Prop,1,24/11/2018,Scotland
Santiago Gonzalez Iglesias,1988-06-16,41,Replacement,22,06/10/2018,Australia
Santiago Grondona,1998-07-25,28,Flanker,6,18/07/2026,England
Santiago Iglesias Valdez,1993-05-22,11,Replacement,16,21/11/2015,Barbarians
Santiago Medrano,1996-05-06,32,Replacement,18,19/11/2022,Scotland
Santiago Pernas,,1,Wing,11,19/07/2025,Uruguay
Santiago Socino,1992-05-07,8,Replacement,16,03/09/2022,New Zealand
Sebastian Cancelliere,1993-09-17,12,Wing,14,08/07/2023,New Zealand
Simon Benitez Cruz,1990-09-06,14,Scrum Half,9,29/08/2026,Australia
Thomas Gallo,1999-04-30,39,Prop,1,23/11/2025,England
Tomas Albornoz,1997-09-17,24,Fly Half,10,18/07/2026,England
Tomas Carrio,1989-03-10,6,Wing,14,23/05/2015,Paraguay
Tomas Cubelli,1989-06-12,93,Scrum Half,9,27/10/2023,England
Tomas Lavanini,1993-01-22,93,Lock,5,29/08/2026,Australia
Tomas Lezana,1994-02-16,40,Replacement,20,18/09/2021,New Zealand
Tomas Rapetti ,2005-03-04,7,Replacement,18,29/08/2026,Australia
