player,dob,caps,position_last_seen,shirt_last_seen,last_match_date,last_opposition
David Ribbans,1995-08-29,10,Replacement,19,27/10/2023,Argentina
Ehren Painter,1998-03-21,0,Prop,3,02/06/2019,Barbarians
Elliot Daly,1992-10-08,81,Full Back,15,14/03/2026,France
Elliott Stooke,1993-09-10,0,Lock,4,02/06/2019,Barbarians
Ellis Genge,1995-02-16,86,Prop,1,18/07/2026,Argentina
Emmanuel Iyogun,2000-11-24,1,Replacement,17,18/07/2026,Argentina
Ethan Roots,1997-11-10,4,Replacement,19,16/03/2024,France
Fin Baxter,2002-02-12,18,Replacement,17,23/11/2025,Argentina
Fin Smith,2002-05-11,19,Fly Half,10,18/07/2026,Argentina
Fraser Dingwall,1999-04-07,10,Centre,12,21/02/2026,Ireland
Freddie Steward,2000-12-05,44,Full Back,15,21/02/2026,Ireland
Gabriel Oghre,1998-05-24,1,Replacement,16,19/07/2025,USA
George Ford,1993-03-16,108,Fly Half,10,21/02/2026,Ireland
George Furbank,1996-10-17,14,Full Back,15,24/11/2024,Japan
George Kloska,1994-02-07,2,Replacement,18,18/07/2026,Argentina
George Kruis,1990-02-22,46,Lock,5,07/03/2020,Wales
George Martin,2001-06-18,25,Lock,5,18/07/2026,Argentina
Guy Pepper,2003-04-15,15,Flanker,7,18/07/2026,Argentina
Guy Porter,,5,Centre,12,05/08/2023,Wales
Harry Randall,1997-12-18,14,Replacement,21,19/07/2025,USA
Harry Wells,1993-09-29,1,Lock,4,10/07/2021,Canada
Harry Williams,1991-10-01,19,Replacement,18,06/02/2021,Scotland
Henry Arundell,2002-11-08,14,Wing,11,21/02/2026,Ireland
Henry Pollock,2005-01-14,13,Replacement,20,18/07/2026,Argentina
Henry Slade,1993-03-19,77,Centre,13,18/07/2026,Argentina
Immanuel Feyi-Waboso,2002-12-20,16,Wing,11,18/07/2026,Argentina
Jack Nowell,1993-04-11,47,Replacement,23,26/11/2022,South Africa
Jack Singleton,1996-05-14,3,Replacement,16,06/11/2022,Argentina
Jack Walker,1996-05-06,5,Replacement,16,23/09/2023,Chile
Jack Willis,1996-12-24,14,Flanker,7,23/09/2023,Chile
Jack van Poortvliet,2001-05-15,27,Scrum Half,9,18/07/2026,Argentina
Jacob Umaga,1998-07-08,5,Replacement,23,04/07/2021,USA
Jamie Blamire,1997-12-22,7,Hooker,2,05/08/2023,Wales
Jamie George,1990-10-20,117,Hooker,2,18/07/2026,Argentina
Joe Carpenter,2001-08-19,1,Full Back,15,19/07/2025,USA
Joe Cokanasiga,1997-11-15,15,Wing,11,05/08/2023,Wales
Joe Heyes,1999-04-13,24,Prop,3,18/07/2026,Argentina
Joe Launchbury,1991-04-12,70,Replacement,19,12/03/2022,Ireland
Joe Marchant,1996-07-16,26,Centre,13,27/10/2023,Argentina
Joe Marler,1990-07-07,95,Prop,1,06/07/2024,New Zealand
Johnny Williams,1996-10-18,9,Centre,12,02/06/2019,Barbarians
Jonathan Joseph,1991-05-21,54,Wing,14,28/11/2020,Wales
Jonny Hill,1994-06-08,20,Replacement,19,12/08/2023,Wales
Jonny May,1990-04-01,78,Wing,14,21/10/2023,South Africa
Josh Bassett,1992-03-17,0,Wing,11,02/06/2019,Barbarians
Josh Beaumont,1992-03-24,0,Lock,5,02/06/2019,Barbarians
Josh McNally,1990-08-21,1,Lock,4,04/07/2021,USA
Kyle Sinckler,1993-03-30,75,Replacement,18,21/10/2023,South Africa
Lewis Ludlam,1995-12-08,25,Replacement,20,27/10/2023,Argentina
Lewis Ludlow,1994-09-11,2,Flanker,6,10/07/2021,Canada
Luke Cowan-Dickie,1993-06-20,64,Replacement,16,18/07/2026,Argentina
Luke Northmore,1997-03-16,2,Centre,13,19/07/2025,USA
Mako Vunipola,1991-01-14,88,Replacement,17,18/03/2023,Ireland
Manu Tuilagi,1991-05-18,61,Replacement,23,16/03/2024,France
Marcus Smith,1999-02-14,54,Full Back,15,18/07/2026,Argentina
Mark Atkinson,1990-03-08,1,Centre,12,19/06/2022,Barbarians
Mark Wilson,1989-10-06,23,Flanker,6,20/03/2021,Ireland
Maro Itoje,1994-10-28,111,Lock,4,14/03/2026,France
Matt Kvesic,1992-04-14,4,Replacement,20,06/09/2019,Italy
Max Malins,1997-01-07,22,Wing,11,23/09/2023,Chile
Max Ojomoh,2000-09-14,2,Centre,12,23/11/2025,Argentina
Nathan Hughes,1991-06-10,22,Replacement,20,16/03/2019,Scotland
Nic Dolly,1999-06-11,1,Replacement,16,19/03/2022,France
Nick Isiekwe,1998-04-20,15,Replacement,19,24/11/2024,Japan
Noah Caluori,2006-09-22,2,Replacement,23,18/07/2026,Argentina
Ollie Chessum,2000-09-06,41,Flanker,6,18/07/2026,Argentina
Ollie Devoto,1993-09-22,2,Replacement,23,08/02/2020,Scotland
Ollie Hassell-Collins,1999-01-17,2,Wing,11,12/02/2023,Italy
Ollie Lawrence,1999-09-18,38,Centre,13,21/02/2026,Ireland
Ollie Sleightholme,2000-04-13,8,Wing,11,09/03/2025,Italy
Ollie Thorley,1996-09-11,1,Replacement,23,31/10/2020,Italy
Orlando Bailey,2001-09-30,0,Replacement,22,19/06/2022,Barbarians
Oscar Beard,2001-11-20,1,Replacement,23,19/07/2025,USA
Owen Farrell,1991-09-24,121,Fly Half,10,27/10/2023,Argentina
Patrick Schickerling,1998-10-16,0,Replacement,18,19/06/2022,Barbarians
Paul Hill,1995-03-02,6,Replacement,18,10/07/2021,Canada
Piers Francis,1990-06-20,9,Centre,12,26/09/2019,USA
Piers O'Conor,1995-08-28,0,Wing,14,02/06/2019,Barbarians
Raffi Quirke,2001-08-18,2,Replacement,22,20/11/2021,South Africa
Ross Harrison,1992-09-03,0,Prop,1,02/06/2019,Barbarians
Ruaridh McConnochie,1991-10-23,2,Wing,14,26/09/2019,USA
Sam Simmonds,1994-11-10,19,Replacement,20,26/11/2022,South Africa
Sam Underhill,1996-07-22,50,Replacement,20,14/03/2026,France
Seb Atkinson,2002-05-21,7,Centre,12,18/07/2026,Argentina
Simon Hammersley,1993-03-20,0,Full Back,15,02/06/2019,Barbarians
Ted Hill,1999-03-26,5,Replacement,19,19/07/2025,USA
Teimana Harrison,1992-09-05,5,Number 8,8,02/06/2019,Barbarians
Theo Dan,2000-12-26,20,Replacement,16,23/11/2025,Argentina
Tom Curry,1998-06-15,77,Replacement,19,18/07/2026,Argentina
Tom Dunn,1992-11-12,3,Replacement,16,21/11/2020,Ireland
Tom Ellis,1994-09-29,0,Replacement,20,02/06/2019,Barbarians
Tom Pearson,1999-10-26,1,Flanker,7,05/08/2023,Wales
Tom Roebuck,2001-01-07,12,Wing,14,14/03/2026,France
Tom Willis,1999-01-18,8,Number 8,8,12/07/2025,Argentina
Tommy Freeman,2001-03-05,33,Wing,14,18/07/2026,Argentina
Tommy Taylor,1991-11-11,1,Replacement,16,02/06/2019,Barbarians
Trevor Davison,1992-08-20,8,Replacement,18,14/03/2026,France
Will Collier,1991-05-05,2,Prop,3,19/06/2022,Barbarians
Will Goodrick-Clarke,1995-12-29,0,Replacement,17,19/06/2022,Barbarians
Will Joseph,2002-07-15,1,Replacement,22,16/07/2022,Australia
Will Muir,1995-10-30,2,Wing,11,12/07/2025,Argentina
Will Spencer,1992-05-30,0,Replacement,19,02/06/2019,Barbarians
Will Stuart,1996-07-12,56,Replacement,18,23/11/2025,Argentina
Willi Heinz,1986-11-24,13,Replacement,22,07/03/2020,Wales
