player_name,position,6N 2023,RWC 2023,6N 2024,Summer 2024,Autumn 2024,6N 2025,Summer 2025,Autumn 2025,6N 2026,Summer NC 2026
Jack Kenningham,Back Row,,,,,,,,✓,,
Henry Pollock,Back Row,,,,,,,,✓,✓,✓
Greg Fisilau,Back Row,,,,,,,,,✓,✓
── SCRUM HALF ──,,,,,,,,,,,
Alex Mitchell,Scrum Half,✓,✓,✓,✓,,✓,,✓,✓,✓
Jack van Poortvliet,Scrum Half,✓,,,,✓,✓,✓,,✓,✓
Ben Youngs,Scrum Half,✓,✓,,,,,,,,
Danny Care,Scrum Half,,✓,✓,,,,,,,
Ben Spencer,Scrum Half,,,✓,✓,✓,,✓,✓,✓,✓
Harry Randall,Scrum Half,,,,✓,✓,✓,✓,,,
Raffi Quirke,Scrum Half,,,,,,,,✓,,
── FLY HALF ──,,,,,,,,,,,
Owen Farrell,Fly Half,✓,C,,,,,,,,
Fin Smith,Fly Half,✓,,✓,✓,✓,✓,,✓,,✓
Marcus Smith,Fly Half,✓,✓,✓,✓,✓,✓,,✓,✓,✓
George Ford,Fly Half,,✓,✓,,,✓,C,✓,✓,✓
Charlie Atkinson,Fly Half,,,,,,,✓,,,
Benhard Janse van Rensburg,Fly Half,,,,,,,,,,✓
── CENTRE ──,,,,,,,,,,,
Dan Kelly,Centre,✓,,,,,,,,,
Joe Marchant,Centre,✓,✓,,,,,,,,
Henry Slade,Centre,✓,,✓,✓,✓,✓,✓,✓,✓,✓
Manu Tuilagi,Centre,✓,✓,,,,,,,,
Ollie Lawrence,Centre,,✓,✓,✓,✓,✓,,✓,,
Oscar Beard,Centre,,,✓,,,✓,✓,,,
Fraser Dingwall,Centre,,,✓,✓,,✓,,✓,✓,
Luke Northmore,Centre,,,,✓,✓,,✓,,,
Alex Lozowski,Centre,,,,,✓,,,,,
Seb Atkinson,Centre,,,,,,,✓,,✓,✓
Max Ojomoh,Centre,,,,,,,✓,✓,✓,✓
Noah Caluori,Centre,,,,,,,,✓,,✓
── WINGER ──,,,,,,,,,,,
Ollie Hassell-Collins,Winger,✓,,,,,,,,,
Max Malins,Winger,✓,✓,,,,,,,,
Cadan Murley,Winger,✓,,,,,✓,✓,✓,✓,✓
Tommy Freeman,Winger,✓,,✓,✓,✓,✓,,✓,✓,✓
Henry Arundell,Winger,,✓,,,,,,✓,✓,
Jonny May,Winger,,✓,,,,,,,,
Immanuel Feyi-Waboso,Winger,,,✓,✓,✓,,✓,✓,✓,✓
Tom Roebuck,Winger,,,✓,✓,✓,✓,✓,✓,,
Ollie Sleightholme,Winger,,,,✓,✓,✓,,,,
Will Muir,Winger,,,,,,,✓,,,
── FULL BACK ──,,,,,,,,,,,
Elliot Daly,Full Back,✓,✓,✓,,✓,✓,,,✓,
Freddie Steward,Full Back,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
George Furbank,Full Back,,,✓,✓,✓,,,,✓,✓
Joe Carpenter,Full Back,,,,✓,,,✓,,,
