squad_id,announcement_date,competition,player_name,position,club,captain
RWC 2023,2023-08-14,Rugby World Cup 2023,Lewis Ludlam,Back Row,Northampton Saints,
RWC 2023,2023-08-14,Rugby World Cup 2023,Billy Vunipola,Back Row,Saracens,
RWC 2023,2023-08-14,Rugby World Cup 2023,Jack Willis,Back Row,Toulouse,
RWC 2023,2023-08-14,Rugby World Cup 2023,Danny Care,Scrum Half,Harlequins,
RWC 2023,2023-08-14,Rugby World Cup 2023,Alex Mitchell,Scrum Half,Northampton Saints,
RWC 2023,2023-08-14,Rugby World Cup 2023,Ben Youngs,Scrum Half,Leicester Tigers,
RWC 2023,2023-08-14,Rugby World Cup 2023,Owen Farrell,Fly Half,Saracens,C
RWC 2023,2023-08-14,Rugby World Cup 2023,George Ford,Fly Half,Sale Sharks,
RWC 2023,2023-08-14,Rugby World Cup 2023,Marcus Smith,Fly Half,Harlequins,
RWC 2023,2023-08-14,Rugby World Cup 2023,Elliot Daly,Centre,Saracens,
RWC 2023,2023-08-14,Rugby World Cup 2023,Ollie Lawrence,Centre,Bath Rugby,
RWC 2023,2023-08-14,Rugby World Cup 2023,Joe Marchant,Centre,Harlequins,
RWC 2023,2023-08-14,Rugby World Cup 2023,Manu Tuilagi,Centre,Sale Sharks,
RWC 2023,2023-08-14,Rugby World Cup 2023,Henry Arundell,Winger,London Irish,
RWC 2023,2023-08-14,Rugby World Cup 2023,Jonny May,Winger,Gloucester Rugby,
RWC 2023,2023-08-14,Rugby World Cup 2023,Max Malins,Winger,Saracens,
RWC 2023,2023-08-14,Rugby World Cup 2023,Freddie Steward,Full Back,Leicester Tigers,
6N 2024,2024-01-23,Six Nations 2024,Luke Cowan-Dickie,Hooker,Sale Sharks,
6N 2024,2024-01-23,Six Nations 2024,Theo Dan,Hooker,Saracens,
6N 2024,2024-01-23,Six Nations 2024,Jamie George,Hooker,Saracens,C
6N 2024,2024-01-23,Six Nations 2024,Dan Cole,Prop,Leicester Tigers,
6N 2024,2024-01-23,Six Nations 2024,Ellis Genge,Prop,Bristol Bears,
6N 2024,2024-01-23,Six Nations 2024,Joe Heyes,Prop,Leicester Tigers,
6N 2024,2024-01-23,Six Nations 2024,Joe Marler,Prop,Harlequins,
6N 2024,2024-01-23,Six Nations 2024,Beno Obano,Prop,Bath Rugby,
6N 2024,2024-01-23,Six Nations 2024,Will Stuart,Prop,Bath Rugby,
6N 2024,2024-01-23,Six Nations 2024,Ollie Chessum,Lock,Leicester Tigers,
6N 2024,2024-01-23,Six Nations 2024,Alex Coles,Lock,Northampton Saints,
6N 2024,2024-01-23,Six Nations 2024,Nick Isiekwe,Lock,Saracens,
6N 2024,2024-01-23,Six Nations 2024,Maro Itoje,Lock,Saracens,
6N 2024,2024-01-23,Six Nations 2024,Chandler Cunningham-South,Back Row,Harlequins,
6N 2024,2024-01-23,Six Nations 2024,Ben Curry,Back Row,Sale Sharks,
6N 2024,2024-01-23,Six Nations 2024,Alex Dombrandt,Back Row,Harlequins,
6N 2024,2024-01-23,Six Nations 2024,Ben Earl,Back Row,Saracens,
6N 2024,2024-01-23,Six Nations 2024,Tom Pearson,Back Row,Northampton Saints,
6N 2024,2024-01-23,Six Nations 2024,Ethan Roots,Back Row,Exeter Chiefs,
6N 2024,2024-01-23,Six Nations 2024,Sam Underhill,Back Row,Bath Rugby,
6N 2024,2024-01-23,Six Nations 2024,Danny Care,Scrum Half,Harlequins,
6N 2024,2024-01-23,Six Nations 2024,Alex Mitchell,Scrum Half,Northampton Saints,
6N 2024,2024-01-23,Six Nations 2024,Ben Spencer,Scrum Half,Bath Rugby,
6N 2024,2024-01-23,Six Nations 2024,George Ford,Fly Half,Sale Sharks,
6N 2024,2024-01-23,Six Nations 2024,Fin Smith,Fly Half,Northampton Saints,
6N 2024,2024-01-23,Six Nations 2024,Marcus Smith,Fly Half,Harlequins,
6N 2024,2024-01-23,Six Nations 2024,Oscar Beard,Centre,Harlequins,
6N 2024,2024-01-23,Six Nations 2024,Elliot Daly,Centre,Saracens,
6N 2024,2024-01-23,Six Nations 2024,Fraser Dingwall,Centre,Northampton Saints,
6N 2024,2024-01-23,Six Nations 2024,Ollie Lawrence,Centre,Bath Rugby,
6N 2024,2024-01-23,Six Nations 2024,Henry Slade,Centre,Exeter Chiefs,
6N 2024,2024-01-23,Six Nations 2024,Immanuel Feyi-Waboso,Winger,Exeter Chiefs,
6N 2024,2024-01-23,Six Nations 2024,Tommy Freeman,Winger,Northampton Saints,
6N 2024,2024-01-23,Six Nations 2024,Tom Roebuck,Winger,Sale Sharks,
6N 2024,2024-01-23,Six Nations 2024,George Furbank,Full Back,Northampton Saints,
6N 2024,2024-01-23,Six Nations 2024,Freddie Steward,Full Back,Leicester Tigers,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Theo Dan,Hooker,Saracens,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Jamie George,Hooker,Saracens,C
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Gabriel Oghre,Hooker,Bristol Bears,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Fin Baxter,Prop,Harlequins,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Dan Cole,Prop,Leicester Tigers,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Joe Heyes,Prop,Leicester Tigers,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Emmanuel Iyogun,Prop,Northampton Saints,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Joe Marler,Prop,Harlequins,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Bevan Rodd,Prop,Sale Sharks,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Will Stuart,Prop,Bath Rugby,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Alex Coles,Lock,Northampton Saints,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Charlie Ewels,Lock,Bath Rugby,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Nick Isiekwe,Lock,Saracens,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Maro Itoje,Lock,Saracens,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),George Martin,Lock,Leicester Tigers,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Chandler Cunningham-South,Back Row,Harlequins,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Ben Curry,Back Row,Sale Sharks,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Tom Curry,Back Row,Sale Sharks,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Alex Dombrandt,Back Row,Harlequins,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Ben Earl,Back Row,Saracens,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Ethan Roots,Back Row,Exeter Chiefs,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Sam Underhill,Back Row,Bath Rugby,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Alex Mitchell,Scrum Half,Northampton Saints,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Harry Randall,Scrum Half,Bristol Bears,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Ben Spencer,Scrum Half,Bath Rugby,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Fin Smith,Fly Half,Northampton Saints,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Marcus Smith,Fly Half,Harlequins,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Fraser Dingwall,Centre,Northampton Saints,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Ollie Lawrence,Centre,Bath Rugby,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Luke Northmore,Centre,Harlequins,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Henry Slade,Centre,Exeter Chiefs,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Immanuel Feyi-Waboso,Winger,Exeter Chiefs,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Tommy Freeman,Winger,Northampton Saints,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Tom Roebuck,Winger,Sale Sharks,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Ollie Sleightholme,Winger,Northampton Saints,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Joe Carpenter,Full Back,Sale Sharks,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),George Furbank,Full Back,Northampton Saints,
Summer 2024,2024-06-10,Summer Tour 2024 (Japan & NZ),Freddie Steward,Full Back,Leicester Tigers,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Luke Cowan-Dickie,Hooker,Sale Sharks,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Theo Dan,Hooker,Saracens,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Jamie George,Hooker,Saracens,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Fin Baxter,Prop,Harlequins,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Dan Cole,Prop,Leicester Tigers,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Ellis Genge,Prop,Bristol Bears,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Joe Marler,Prop,Harlequins,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Will Stuart,Prop,Bath Rugby,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Ollie Chessum,Lock,Leicester Tigers,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Alex Coles,Lock,Northampton Saints,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Nick Isiekwe,Lock,Saracens,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Maro Itoje,Lock,Saracens,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,George Martin,Lock,Leicester Tigers,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Chandler Cunningham-South,Back Row,Harlequins,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Ben Curry,Back Row,Sale Sharks,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Tom Curry,Back Row,Sale Sharks,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Alex Dombrandt,Back Row,Harlequins,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Ben Earl,Back Row,Saracens,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Ethan Roots,Back Row,Exeter Chiefs,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Sam Underhill,Back Row,Bath Rugby,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Harry Randall,Scrum Half,Bristol Bears,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Jack van Poortvliet,Scrum Half,Leicester Tigers,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Ben Spencer,Scrum Half,Bath Rugby,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Fin Smith,Fly Half,Northampton Saints,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Marcus Smith,Fly Half,Harlequins,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Elliot Daly,Centre,Saracens,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Ollie Lawrence,Centre,Bath Rugby,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Alex Lozowski,Centre,Saracens,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Luke Northmore,Centre,Harlequins,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Henry Slade,Centre,Exeter Chiefs,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Immanuel Feyi-Waboso,Winger,Exeter Chiefs,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Tommy Freeman,Winger,Northampton Saints,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Tom Roebuck,Winger,Sale Sharks,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Ollie Sleightholme,Winger,Northampton Saints,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,George Furbank,Full Back,Northampton Saints,
Autumn 2024,2024-10-07,Autumn Nations Series 2024,Freddie Steward,Full Back,Leicester Tigers,
6N 2025,2025-01-23,Six Nations 2025,Luke Cowan-Dickie,Hooker,Sale Sharks,
6N 2025,2025-01-23,Six Nations 2025,Theo Dan,Hooker,Saracens,
6N 2025,2025-01-23,Six Nations 2025,Jamie George,Hooker,Saracens,
6N 2025,2025-01-23,Six Nations 2025,Fin Baxter,Prop,Harlequins,
6N 2025,2025-01-23,Six Nations 2025,Ellis Genge,Prop,Bristol Bears,
6N 2025,2025-01-23,Six Nations 2025,Joe Heyes,Prop,Leicester Tigers,
6N 2025,2025-01-23,Six Nations 2025,Asher Opoku-Fordjour,Prop,Sale Sharks,
6N 2025,2025-01-23,Six Nations 2025,Bevan Rodd,Prop,Sale Sharks,
6N 2025,2025-01-23,Six Nations 2025,Will Stuart,Prop,Bath Rugby,
6N 2025,2025-01-23,Six Nations 2025,Ollie Chessum,Lock,Leicester Tigers,
6N 2025,2025-01-23,Six Nations 2025,Alex Coles,Lock,Northampton Saints,
6N 2025,2025-01-23,Six Nations 2025,Maro Itoje,Lock,Saracens,C
6N 2025,2025-01-23,Six Nations 2025,George Martin,Lock,Leicester Tigers,
6N 2025,2025-01-23,Six Nations 2025,Chandler Cunningham-South,Back Row,Harlequins,
6N 2025,2025-01-23,Six Nations 2025,Ben Curry,Back Row,Sale Sharks,
6N 2025,2025-01-23,Six Nations 2025,Tom Curry,Back Row,Sale Sharks,
6N 2025,2025-01-23,Six Nations 2025,Alex Dombrandt,Back Row,Harlequins,
6N 2025,2025-01-23,Six Nations 2025,Ben Earl,Back Row,Saracens,
6N 2025,2025-01-23,Six Nations 2025,Ted Hill,Back Row,Bath Rugby,
6N 2025,2025-01-23,Six Nations 2025,Tom Willis,Back Row,Saracens,
6N 2025,2025-01-23,Six Nations 2025,Alex Mitchell,Scrum Half,Northampton Saints,
6N 2025,2025-01-23,Six Nations 2025,Harry Randall,Scrum Half,Bristol Bears,
6N 2025,2025-01-23,Six Nations 2025,Jack van Poortvliet,Scrum Half,Leicester Tigers,
6N 2025,2025-01-23,Six Nations 2025,George Ford,Fly Half,Sale Sharks,
6N 2025,2025-01-23,Six Nations 2025,Fin Smith,Fly Half,Northampton Saints,
6N 2025,2025-01-23,Six Nations 2025,Marcus Smith,Fly Half,Harlequins,
6N 2025,2025-01-23,Six Nations 2025,Oscar Beard,Centre,Harlequins,
6N 2025,2025-01-23,Six Nations 2025,Fraser Dingwall,Centre,Northampton Saints,
6N 2025,2025-01-23,Six Nations 2025,Ollie Lawrence,Centre,Bath Rugby,
6N 2025,2025-01-23,Six Nations 2025,Henry Slade,Centre,Exeter Chiefs,
6N 2025,2025-01-23,Six Nations 2025,Tommy Freeman,Winger,Northampton Saints,
6N 2025,2025-01-23,Six Nations 2025,Cadan Murley,Winger,Harlequins,
6N 2025,2025-01-23,Six Nations 2025,Tom Roebuck,Winger,Sale Sharks,
6N 2025,2025-01-23,Six Nations 2025,Ollie Sleightholme,Winger,Northampton Saints,
6N 2025,2025-01-23,Six Nations 2025,Elliot Daly,Full Back,Saracens,
6N 2025,2025-01-23,Six Nations 2025,Freddie Steward,Full Back,Leicester Tigers,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Theo Dan,Hooker,Saracens,C
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Jamie George,Hooker,Saracens,C
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Curtis Langdon,Hooker,Northampton Saints,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Fin Baxter,Prop,Harlequins,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Trevor Davison,Prop,Northampton Saints,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Joe Heyes,Prop,Leicester Tigers,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Emmanuel Iyogun,Prop,Northampton Saints,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Asher Opoku-Fordjour,Prop,Sale Sharks,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Bevan Rodd,Prop,Sale Sharks,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Arthur Clark,Lock,Gloucester Rugby,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Alex Coles,Lock,Northampton Saints,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Charlie Ewels,Lock,Bath Rugby,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Nick Isiekwe,Lock,Saracens,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Chandler Cunningham-South,Back Row,Harlequins,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Ben Curry,Back Row,Sale Sharks,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Alex Dombrandt,Back Row,Harlequins,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Ted Hill,Back Row,Bath Rugby,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Guy Pepper,Back Row,Bath Rugby,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Sam Underhill,Back Row,Bath Rugby,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Tom Willis,Back Row,Saracens,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Harry Randall,Scrum Half,Bristol Bears,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Ben Spencer,Scrum Half,Bath Rugby,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Jack van Poortvliet,Scrum Half,Leicester Tigers,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Charlie Atkinson,Fly Half,Gloucester Rugby,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),George Ford,Fly Half,Sale Sharks,C
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Seb Atkinson,Centre,Gloucester Rugby,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Oscar Beard,Centre,Harlequins,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Luke Northmore,Centre,Harlequins,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Max Ojomoh,Centre,Bath Rugby,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Henry Slade,Centre,Exeter Chiefs,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Immanuel Feyi-Waboso,Winger,Exeter Chiefs,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Will Muir,Winger,Bath Rugby,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Cadan Murley,Winger,Harlequins,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Tom Roebuck,Winger,Sale Sharks,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Joe Carpenter,Full Back,Sale Sharks,
Summer 2025,2025-06-24,Summer Tour 2025 (Argentina & USA),Freddie Steward,Full Back,Leicester Tigers,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Luke Cowan-Dickie,Hooker,Sale Sharks,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Theo Dan,Hooker,Saracens,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Jamie George,Hooker,Saracens,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Fin Baxter,Prop,Harlequins,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Ellis Genge,Prop,Bristol Bears,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Joe Heyes,Prop,Leicester Tigers,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Asher Opoku-Fordjour,Prop,Sale Sharks,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Will Stuart,Prop,Bath Rugby,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Ollie Chessum,Lock,Leicester Tigers,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Alex Coles,Lock,Northampton Saints,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Nick Isiekwe,Lock,Saracens,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Maro Itoje,Lock,Saracens,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Chandler Cunningham-South,Back Row,Harlequins,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Tom Curry,Back Row,Sale Sharks,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Ben Earl,Back Row,Saracens,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Jack Kenningham,Back Row,Harlequins,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Guy Pepper,Back Row,Bath Rugby,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Henry Pollock,Back Row,Northampton Saints,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Sam Underhill,Back Row,Bath Rugby,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Alex Mitchell,Scrum Half,Northampton Saints,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Raffi Quirke,Scrum Half,Sale Sharks,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Ben Spencer,Scrum Half,Bath Rugby,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,George Ford,Fly Half,Sale Sharks,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Fin Smith,Fly Half,Northampton Saints,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Marcus Smith,Fly Half,Harlequins,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Fraser Dingwall,Centre,Northampton Saints,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Ollie Lawrence,Centre,Bath Rugby,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Max Ojomoh,Centre,Bath Rugby,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Henry Slade,Centre,Exeter Chiefs,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Henry Arundell,Winger,Bath Rugby,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Noah Caluori,Winger,Saracens,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Immanuel Feyi-Waboso,Winger,Exeter Chiefs,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Tommy Freeman,Winger,Northampton Saints,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Cadan Murley,Winger,Harlequins,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Tom Roebuck,Winger,Sale Sharks,
Autumn 2025,2025-10-13,Autumn Nations Series 2025,Freddie Steward,Full Back,Leicester Tigers,
6N 2026,2026-01-27,Six Nations 2026,Luke Cowan-Dickie,Hooker,Sale Sharks,
